label,review
Negative,"Great graphics, mediocre game play. There's a lot of artificial difficulty. You will run into invisible walls your entire play through. Many bosses have unavoidable cutscene grabs that do damage. Combat is basic and reminiscent of  the first ninja gaiden. Unfortunately not nearly as fun combat as ninja gaiden. Hit boxes on many bosses are goofy and lazily made. You find yourself chest to chest as close the character box will allow and still attacks won't reach. An entertaining game overshadowed by the frustration of issues games have long since fixed. Looks great plays poor."
Negative,"I really wanted to like this game, but it falls victim to many poor design decisions and I found the game far more tedious and frustrating than it should be.First off, the game is gorgeous, the cutscenes are fun, and I'm sure the story is great, though I struggled to follow along since I'm not familiar with JTTW. The game ran almost flawlessly on my machine as well.But I found the combat too simple, the customization and skill trees are shallow, and overall the whole game was pretty repetitive. 25 hours of doing the same light attack spam, followed by a heavy attack, got tiring quickly. Games centered entirely around the combat need some more variation to keep it interesting.Level design is bland, the fodder/non-boss enemies are often too easy and there's so much running in this game, the levels are huge, exploration felt slow and tedious.The bosses are the best part of the game, I found myself bored in the sections between bosses and just couldn't wait to get to the next one.But then the bosses start getting really rough at the end of chapter 4 and beyond. There is a lot of artificial difficulty that can turn such a cool spectacle of a fight to something you just want to be over because it's really just that unfun. Like a boss will remove 70% of your stamina bar, or make your dodges slower, or put 6 aoe tornadoes that just follow you around half of the fight that nuke your health bar etc. Some fights have some major hitbox issues too. Also boss HP is too high in the late game, fights drag on and on.80 tries to beat an Elden Ring boss was far more fun than 20-30 tries to beat one of the stinkier fights later in this game.Other games of this genre set the bar very high, and this game fell a bit below for my taste."
Negative,"After waiting for this game since it's teaser trailer, and now finally completing the game (and most side quests), I am ready give my opinion on it.Unfortunately, I cannot recommend this game.BMW is a difficult boss rush game with a fantastic story and minor RPG elements. Many people have already brought up the minor points of the game so I am gong straight to the main point. The combat is pretty much the whole of the game, going from boss to boss with minor fights in-between. The fights are incredibly punishing but feel so because the bosses are artificially difficult. I can only explain it through an example: After encountering a boss and dying multiple times you learn the bosses move sets and are able to dodge their moves and time your attacks. However, even after you do so, you realize that the boss still has 2/3rds of their health left and you have to battle perfectly...5 MORE TIMES. It really becomes a test of endurance rather than skill or reflexes. This becomes even more apparent after you utilize all of your spells and skills and are now left to slog through the battle with two incredibly repetitive moves (light and heavy attack). I found myself fairly bored with many battles, despite still dying repeatedly, because the enemies just last way too long because of their artificially inflated health bars. I have never played dark souls so I cannot compare it to BMW. To compare it to other games it feels like any other action adventure game just played on the highest difficulty. And that's the biggest problem I have with this game: why would it have been so hard to put in a difficulty option and simply reduce or increase the bosses health for each level you choose?The lack of difficulty options bothers me so much because it just makes me think of all of the people who gave up on this game, never even tried it, or just sped through it and missed so much side content and deep lore. Because that is where this game shines: the story is the reason I pushed through to the end. It is a ""sequel"", of sorts, to Journey to the West. The love the devs have of the source material is apparent in the beautifully crafted world, uniquely designed enemies and characters, and, most important, the masterfully told stories in the journal entries. Seriously, if you play this game: read the journal entries! They could be sold as a book on their own. If you really want to understand the story you must read the journal entries.With so much love put into the story you would think they want people to experience it. Instead the artificially difficult bosses and slightly boring combat blocks many people from fully enjoying it or even being able to see it in the first place.I understand this game is meant to be difficult but it still baffles me that the devs put so much into a story that so many people will not see or fully appreciate. It is because of this that I cannot recommend Black Myth: Wukong until a difficulty option is implemented (which will never happen). I'm sure most responses to this review will simply be: ""git gud"""
Negative,"I think normally I might give this game a ""recommend"", but I think, in the face of the overwhelmingly-one-sided positive reviews, I'll mark this ""not recommend"" just so people will actually be able to find some critiques that I haven't seen much.First off, this game reminds me a lot of two Team Ninja games ""Wo Long"" and ""Nioh 2"", leaning more towards the former than the latter in terms of execution. If you've played either of these, you will quickly feel like Wukong is a subpar imitation. The reason is that a lot of special Yaoguai powers literally don't feel like they have any use and they're really clunky to pull off consistently. Additionally, the combat is very repetitive, as the stances available only change your heavy attack and not light attacks. The most obvious outcome is that you end up sticking to just a few skills the entire way through, because other options aren't viable, while also doing the same light attack / heavy attack combo without variation. It gets boring really fast.On top of that, the basic enemies provide no challenge at all, while the bosses provide a varied amount. I think this sets up a weird expectation, as normally you'd have the basic enemies to ramp you into boss fights, but instead your first real boss fight (either the Wandering Wight or fire-blade Yaoguai) will come as a surprise in terms of damage numbers and such, particularly the Wight, which seems designed to be beaten until after you've collected a few different special powers, levels, and armour.I don't think difficulty is bad, but other games that Wukong has taken inspiration from do a much better job at ramping players into their first challenge. I also found that, weirdly, as the game progressed, the bosses got easier to deal with. I had the most difficulties with the Black Flame King, mainly because of his tendency to completely ignore the paralyze spell and do a lot of damage with quick moves that aren't telegraphed well.I also see a lot of people praising the graphics, but I genuinely think there's a fundamental lack of style and attempts to set enemies apart from the environment. The colours in the first two chapters match the basic enemies so well that they often just blend into the background in a lot of areas, and on top of that, I just personally don't think the attempt at realistic visuals works well. It kind of just looks like an unreal engine graphics demo, and the over-reliance heavy particle simulations for the elemental effects really doesn't help in that regard, not to mention hurting performance.I think games like Dark Souls, Elden Ring, and Nioh work well not because they are visually-realistic games, but because the graphical style is readable. The end result of Wukong's style is that, because of the way effects are done, the telegraphed moves are hard to figure out by watching them and instead you have to learn the timings through being punished for getting them wrong. There are also just sometimes really wonky hitboxes, which don't help.Also, some dark areas are crazy dark, with the light simulations of torches in the environment usually doing nothing to illuminate the enemies often encountered in such areas. It honestly feels less like a design-choice and more like an engine limitation. Paritcularly given the fact that turning up gamma all the way changes nothing.The story is another part that I think a lot of people will be frustrated with. I think it's cool that they are using Journey to the West as the fundament for the game, but it's clear that there's a lot of context you won't have if you are playing this as non-native Chinese. There aren't any attempts to try to fill these gaps in context and after my first 5 hours I just started skipping through as much dialogue as I could, because I had no idea what the hell was going on, lol. That being said, the Chinese voice-acting is great, I recommend switching it on with subtitles, since the English dub really has a lot of VAs hamming it in.I think I might be more negative towards this game than normal, since it was so majorly hyped and I'm a big souls-like fan. Having recently beaten my second playthrough of the new Elden Ring DLC probably also didn't help. But yeah, I don't think this game is worth the hype. As a souls-like fan, I'd give it maybe a 6/10 in its current state, due to the many problems stated above. I just think it's kind of boring after only 10 hours into it. The boss designs are cool, but the execution isn't good enough."
Negative,"I wanted to like this game but after finishing it I was left thouroughly bored. Maybe I would have enjoyed the game if it was half as long but even then I have difficulty recommending it.If you want a good action game then sure this will serve this purpose but you could also play one of the many other exceptional action games out there. It's functional and competently made but it never surprised me. Your moveset is rather limited, which prevents a great degree of player expression. But at the same time it is rarely challenging enough for aspects like the limited healing or stamina to matter. Boss designs are mostly forgettable and the ones that aren't forgettable also fail to stand out. If you aren't familiar with Chinese mythology your milage may vary, if you are nothing here will surprise you.I found exploration to be mostly frustrating. It is unclear where you can go and where you will run up against an invisible wall. This would be fine if the game was a linear corridor without sidepaths ...but it is not. There are branching paths and open areas with some hidden locations containing items, bosses and some story relevant spots. This left me spending a decent chunk of this game running up against invisible walls in case there was a secret behind a ledge. The final chapter is also guilty of this issue for a separate reason I will not get into because of spoilers. It also doest help that the game is a lot longer than it probably should have been. Especially chapter 3 drags on for way too long forcing you to fight repetitive enemies in an endless snowy forest. Graphically BMW can look stunning but that comes at the cost of performance. The game is barely playable without resolution scaling and frame generation, but they add some pretty bad artifacts that are very noticable and distracting if you are sensitive to those. I am and those artifacts along with some oversharpening and lighting issues distracted me more than the graphics impressed.I have read about 40% of Journey to the West a while back. If you haven't read the original, this story will just contain a series of seemingly random events. The game assumes that you are familiar with the original. Even while knowing certain story bits it was tough for me understanding what was happening at any moment and why.Finally, and this hurts to say. Even though there is undoubtedly a ton of work and effort in here, this game didn't have any emotional peaks for me. Even the two final bosses that were probably intentioned to make me feel something left me feeling nothing. All else would have been forgiven if BMW delivered in some moment where it all came together but for whatever reason that never happened. Your experience may differ but personally I cannot recommend spending 60-70â‚¬ on this game ."
Negative,"Game is still buggy. Interface is not optimized. To use a spell / item you need to pull up a menu to cast. Often times there is a delay when pulling up the ""menu"" to casting the spell / item. Results in a clunky experience. Terrain is also a major hindrance to any fight since it is only an obstacle for you, not for the enemies. The enemies attacks can go right through any terrain as if it wasn't there. For example the White Noble fight, his slashes can clear through any terrain regardless if it is passable or not. There are a few other fights as well where the terrain will straight up block you, yet not the boss during the animation of the attack. Still clunky, would suggest waiting for a more optimized experienceAdding onto this review after a bit more gameplay: The menu mechanic is so buggy. When you try and use the ""legendary item"" the menu will pull up, but if you're in the middle of an animation, it won't cast, just pull up, so then you're sitting there like okay cool? meanwhile a boss is chain stunning you to oblivion. So apparently the only way you can use those items is to pause, stop, don't do anything, pull up the menu, select the item, cast the item, and pray to sweet baby jesus that the boss hasn't hit you buy then. The entire casting process takes roughly 2 second or so, but in a game like this, not moving, not dodging, and being a sitting duck for 2 full full seconds is enough for you to go from 100% health to 0% health, especially with boss chain stuns (example yellow sage with his wind, swipe, kick, spear)."
Negative,"The game has enough recommendations already so I choose to put this review on the not recommended section, click bait aside I do think that the game is over rated.I'm not a souls genre player, and I rarely play action oriented games, but I'm used to play other kind of games that requires a lot of trials and errors or practice to enjoy, therefore I wasn't shocked by the perceived difficulty of the game.The game is only slightly open world with a few side quests scattered around the map, it feels mostly linear with the exception of the last chapter where suddenly the game went even more open with less linearity on how to approach the map.I think it's useless to describe the gameplay and the positives of this game, there arethousands of other reviews you can read and watch, but to me the biggest downside of the game is on the narration side.The narration is disjointed, requires you to have some level of familiarity with the original source material and requires you to have some level of understanding about Chinese socio-cultural contexts as well as Buddhism and Daoism to fully appreciate the story.Another bad thing for me is that most of the game world building lore is locked inside the game pause menu that will only get unlocked after you met or bested enemies, I think this is a staple of souls genre and as an RPG player I think it's a massive fail as it's the opposite from RPG that tries to immerse you in the world of the game, in here it became distraction and is totally unimmerisve.You can get that from YouTube that covers them, but as a stand alone game and story that is a massive fail on part of the developers.Aside from that performance wise the game continues the tradition of UE5 games that at times can offer amazing visuals but other times are not, riddled with stutters and unreasonable performance. And to make it worse somehow the game has no native HDR support, I could enable the UE5 HDR with .ini editing but it result in UI ghosting issue.Ultrawide 21:9 is natively supported with a few minor issues.Overall it's a solid first AAA Chinese game but they need to improve their story telling for their next game."
Negative,Quit and refund after 2 hours of spamming X over and over because the heavy attack was implemented so poorly and does not synchronize with combat AT ALL. Almost every light attack feels completely inconsequential. after pressing X every 3 times the monkey spins the staff pointlessly around his body doing no damage to enemy's and getting the player stuck in animations.
Negative,"As of right now, refunding this game due to a fair amount of bugs in it from the start. Also the levels don't really seem fleshed out at all. Yes, there are plenty of different decorations to the levels, but it seems like props were kind of randomly strewn about the game.I've also now had to force quit the game twice during combat in two separate instances. Seems like the game was just poorly optimized especially on graphics. I was running Medium Quality settings."
Negative,Yellow Wind King Boss is the worst boss design I;ve ever seen. You can;t see nothing and these transparent walls are blocking you from moving while you can't see nothing. Such a bad design for this boss.
Negative,"This is the first title where I actually, genuinely feel deceived by the few reviews I watched. ""It's not inspired by the soulsbornes, it's their own thing"" was uniformly propagated. Well guess what - it's another soulsborne game with some minor twists to the formula I will get into.I deliberately bought this game to finally get some reprieve from the excessive influence Fromsoft has had on the last decade of games and it's just more of the same. The challenge lies entirely in the game obfuscating what to do.  Normal enemies are a minor nuisance, bosses are the focal point. Bosses perform devastating attacks that you need to internalize - and without having seen them performed prior you either get away with a crude, unrewarding feeling victory, or you need to repeat the same thing a few times over. I've stated before I don't like this concept. I don't like games that feel they don't need to communicate their intent. I already played all Souls games there are. I did not buy into this thinking it was just more of the same.The combat model itself is, I suppose, a play on the existing model. Rather than stance breaking a la Sekiro, you generate Focus points by attacking (or charging). Focus points can be leveraged in a multitude of ways that allow you to take some initiative and deal big damage. You don't feel anywhere near as helpless as your average souls game - you intermittently decide the pace of the fight. I won't judge the quality of the twist, nor the admittedly great visuals - for I am wholly put off by being deceived into thinking this wasn't another soulsborne purchasing it. But it just is."
